molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL394855,O=C(/C=C/c1ccc(O)cc1O)c1ccc(O)cc1O,active,302.4140000000001,3.973100000000003,1.0,3.0,7.3979400086720375
CHEMBL253467,CC(C)=CCc1c(O)ccc(C(=O)/C=C/c2ccc(O)cc2)c1O,inactive,639.026,6.477600000000006,3.0,5.0,7.3979400086720375
CHEMBL464428,CC(C)=CCc1cc(C(=O)/C=C/c2ccc(O)cc2)c(O)cc1O,inactive,681.0629999999998,7.048400000000006,2.0,6.0,7.3979400086720375
CHEMBL115452,CC(C)=CCc1cc(C(=O)/C=C/c2ccc(O)c(O)c2)c(O)cc1O,inactive,469.71000000000043,6.597200000000007,2.0,2.0,7.3979400086720375
CHEMBL465845,COc1ccc(CCCc2ccc(O)c(OC)c2)c(OC)c1,inactive,451.6950000000004,7.788480000000009,1.0,2.0,7.3979400086720375
CHEMBL464472,COc1ccc(CCCc2ccc(OC)c(O)c2)c(O)c1,inactive,469.71000000000043,7.558800000000008,2.0,3.0,7.3979400086720375
CHEMBL463454,COc1cc(O)ccc1CCCc1ccc(O)cc1,inactive,270.24,2.576800000000001,3.0,5.0,7.3979400086720375
CHEMBL463453,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)cc2O)[C@H]1O,active,456.71100000000035,7.089500000000008,2.0,2.0,7.3979400086720375
CHEMBL463452,CC(C)=CCc1c(O)cc2oc(-c3ccc(O)c(O)c3)c(O)c(=O)c2c1O,active,498.7480000000004,7.660300000000009,1.0,3.0,7.3979400086720375
CHEMBL9323,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)cc2)[C@H]1O,active,379.3120000000001,5.7321000000000035,0.0,4.0,7.3979400086720375
CHEMBL469444,CC(C)=CCc1cc2c(cc1O)O[C@H](c1ccc(O)cc1)CC2=O,active,338.3190000000001,2.6838000000000006,1.0,7.0,7.3979400086720375
CHEMBL463256,CC(C)=CCc1cc([C@H]2Oc3c(CC=C(C)C)c(O)cc(O)c3C(=O)[C@@H]2O)ccc1O,active,312.30000000000007,3.0942000000000025,1.0,5.0,7.3979400086720375
CHEMBL463168,Oc1ccc([C@@H]2CCc3ccc(O)cc3O2)cc1,active,360.3730000000001,3.655100000000002,0.0,6.0,7.3979400086720375
CHEMBL463255,COc1cc(O)c2c(c1CC=C(C)C)O[C@H](c1ccc(O)cc1O)CC2,active,337.8140000000001,3.8215200000000014,0.0,5.0,7.3979400086720375
CHEMBL457263,CC(C)=CCc1c(O)ccc(CCCc2ccc(O)cc2)c1O,inactive,309.372,4.872600000000004,0.0,3.0,7.3979400086720375
CHEMBL453448,Oc1ccc(CCCc2ccc(O)cc2O)cc1,active,335.79400000000004,5.188600000000003,1.0,4.0,7.3979400086720375
CHEMBL456062,CC(C)=CCc1cc([C@@H]2CCc3ccc(O)cc3O2)ccc1O,inactive,281.31100000000004,3.2454000000000014,2.0,4.0,7.3979400086720375
CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,active,347.80500000000006,5.1647000000000025,2.0,3.0,5.1938200260161125
CHEMBL465881,CC(C)=CCc1cc2cc(-c3cc(O)cc(O)c3)oc2cc1O,inactive,265.272,3.128800000000002,0.0,4.0,4.507239610973162
CHEMBL465880,CC(C)=CCc1c(O)ccc(C(=O)/C=C/c2ccc(O)cc2O)c1O,active,285.31,2.65916,0.0,5.0,5.337242168318426
CHEMBL465879,COc1ccc(CCCc2ccc(O)cc2)c(O)c1,active,347.3300000000001,3.535400000000002,0.0,6.0,4.522878745280337
